へろー,1
1.53,nb_c
2.20,s
2.67,DA
3.37,db_g
4.80,s
5.67,db_a
6.40,ub_a
10.44,fa
11.07,fa
13.80,db_g
17.94,ba
18.84,db_a
22.30,ba
23.20,nb_c
25.24,ss
26.90,DA
33.07,ub_a
37.04,ss
40.51,na
41.97,s
42.81,g
43.37,fth
44.41,dc
45.61,ub_a
47.71,nb_c
50.28,na
53.11,fa
54.48,sd
55.21,g
55.61,fth
57.41,ba
57.61,ba
58.14,ub_a
59.38,nb_a
60.91,ua
61.41,ua
63.81,s
64.68,fa
67.08,fa
69.11,ub_a
74.35,na
74.88,ub_a
75.31,nb_c
83.81,ba
84.28,db_g
85.08,db_g
86.18,s
93.05,fa
93.48,na
94.82,ub_a
95.98,na
97.28,ba
98.35,ad
99.52,s
99.95,g
101.05,s
105.82,s
107.25,DA
108.38,g
112.42,ad
114.05,na
114.99,db_a
116.29,ub_a
119.12,na
120.39,s
120.75,g
122.29,fth
123.52,dc
125.39,na
126.36,ub_a
