マイルドなH.O,3
1.07,nb_c
3.13,g
3.53,fth
4.07,na
4.97,s
5.53,ub_a
8.20,nb_c
9.47,st
12.00,nb_c
13.37,ub_a
16.37,nb_c
19.74,sd
21.84,nb_c
22.74,s
25.14,ba
26.80,ba
27.00,ba
27.40,ad
29.27,db_a
31.07,nb_a
33.37,s
34.61,ua
36.04,DA
37.61,st
41.11,ub_a
42.51,ua
43.74,na
44.87,ub_a
45.87,nb_c
47.91,na
51.31,nb_a
52.54,DA
53.74,ba
54.68,ba
63.11,ua
64.18,ub_a
68.48,nb_c
70.64,DA
71.18,g
72.84,nb_c
73.68,ba
75.25,da
76.45,ua
78.51,na
81.81,ut
83.08,dt
83.91,g
84.35,fth
85.61,dc
87.28,na
88.71,ub_a
89.68,nb_c
93.35,s
93.68,s
96.18,g
96.58,fth
97.05,uc
98.95,ua
99.82,DA
101.65,ad
103.32,ut
104.35,s
106.58,st
108.12,dt
108.75,ba
110.22,ad
112.25,ba
112.55,ub_a
114.99,ub_a
116.62,nb_c
118.42,ba
118.85,nb_c
119.92,DA
121.05,ut
123.75,dt
124.55,db_g
125.55,ba
127.12,ba
127.49,ba
129.05,ba
129.62,ba
131.35,na
132.29,ut
134.09,nb_c
136.46,na
137.99,dt
139.49,da
140.09,na
140.46,ba
140.99,ba
144.19,na
144.56,ub_a
148.43,g
149.96,ub_a
152.26,ad
155.39,ba
156.69,ub_a
161.43,db_a
163.33,ad
163.70,ut
167.06,bc
167.63,nb_c
168.36,ub_a
170.26,s
172.73,ad
174.16,da
175.30,g
176.40,s
177.30,db_a
178.80,ua
180.50,s
183.26,g
186.70,ba
187.03,na
188.13,ub_a
190.26,ub_a
191.97,ut
193.87,ba
196.57,s
198.80,fa
